,student_id,age,gender,country,device_type,internet_speed_mbps,study_hours_weekly,login_frequency_weekly,avg_session_duration_min,video_watch_time_min,assignments_submitted,forum_posts,quiz_attempts,avg_quiz_score,attendance_rate,engagement_score,final_grade,dropout
0,1,24,Female,USA,Laptop,44.7,15.92,10,40.05275209226463,294.0997594624343,3,4,6,46.69,0.93,8.046498797312172,22.447640593713675,0
3,4,32,Male,India,Tablet,26.99,10.91,5,30.69726315174877,370.4516286997306,3,1,2,61.21,0.65,6.1252581434986535,41.30063354912637,0
4,5,28,Male,India,Laptop,52.28,7.41,6,47.40299897440246,151.3412959867465,4,4,6,74.92,0.55,4.979706479933732,39.1489977840022,1
5,6,25,Male,USA,Laptop,56.32,12.24,12,64.25999277606114,281.2884868303461,1,5,4,39.03,0.43,6.0784424341517305,20.239898820673847,1
6,7,46,Female,USA,Mobile,52.62,4.78,12,61.48226948678487,402.53731012777394,8,4,4,94.95,0.85,5.846686550638869,45.90242519704234,0
8,9,24,Male,Canada,Mobile,83.62,3.98,5,36.85010662701959,176.4101083406799,9,7,7,58.96,0.45,5.2760505417034,33.883459065787754,1
9,10,43,Male,India,Mobile,57.9,13.04,12,51.73278075763136,442.9764821930586,9,14,3,70.69,0.57,8.526882410965293,36.15776750991355,1
10,11,36,Male,India,Mobile,71.6,4.26,9,-2.039558179952806,283.31447536667577,0,11,6,76.27,0.55,3.894572376833379,30.7139584466498,1
11,12,40,Female,Canada,Tablet,49.6,3.88,5,52.66277607313765,292.4829422480002,3,7,3,36.28,0.42,3.826414711240001,21.856994509133703,1
15,16,38,Male,India,Mobile,36.36,7.65,8,24.015033633040694,272.3641597976721,0,9,3,69.75,0.54,4.256820798988361,34.36209791694744,1
19,20,20,Female,USA,Tablet,42.7,4.98,3,37.47615485777588,297.87122812538746,4,14,2,69.89,0.45,4.1833561406269375,32.32881717930146,1
21,22,38,Female,Canada,Mobile,66.3,17.0,14,68.03305111420212,385.0145836573506,8,9,4,74.82,0.8,9.425072918286752,35.75327141187428,0
22,23,19,Male,India,Tablet,63.45,9.39,8,43.320933429988,449.96266582537055,3,9,6,48.98,0.91,6.866813329126853,19.81298850683492,0
27,28,19,Female,Canada,Mobile,64.22,11.44,8,36.28910830898488,-9.983287912340302,5,3,7,57.9,0.94,5.7820835604382985,27.98742765738054,0
30,31,38,Male,Canada,Mobile,42.63,11.27,6,31.734703790985293,329.20115784393374,0,12,5,79.58,0.57,6.027005789219668,42.96906955339598,1
31,32,18,Female,Canada,Mobile,18.58,14.05,12,55.68985935018492,519.2101624774295,9,3,7,35.84,0.93,10.011050812387149,20.85937091946491,0
33,34,43,Male,India,Laptop,49.7,10.88,10,28.900222207711,261.2419843715418,7,3,2,89.14,0.64,6.370209921857709,52.18178000837305,0
34,35,39,Female,India,Mobile,62.87,13.43,3,28.85808599707802,67.93521778036057,4,5,7,87.97,0.8,6.568676088901803,54.18215026477044,0
41,42,48,Female,USA,Mobile,49.71,8.64,1,42.24689502944808,479.2182062010224,7,3,6,91.45,0.46,7.588091031005113,49.91634321735428,1
42,43,27,Female,India,Mobile,66.74,15.09,7,57.40478062397938,287.9448509181213,7,13,1,74.91,0.76,7.566724254590607,41.14320043110143,0
43,44,49,Male,Canada,Laptop,60.0,8.43,9,55.75824454228708,272.5917342463705,5,1,5,87.3,0.61,5.891958671231852,49.09987336386408,0
44,45,45,Male,USA,Laptop,49.61,9.37,4,47.734198601815415,443.6851051610396,4,2,6,72.94,1.0,7.029425525805197,43.775816520663646,0
